abbr	len	ambiguous	raw	marked	in_other_tags	bare_narrative	ctx1	ctx2	ctx3
Augm.	5		2	0	0	2	 <div n="2"> a)       (  ),   (  ),   und  , ohne Augm.  ; partic.   u. s. w.; med. in Verbindung mit pra	eciell vom  :                 —       3. pl. ohne Augm.                           med. :   3. sg.   (   )	
Bde.	4		2	0	0	2	lc. Ausg.  ).         in          , v. l. im 3ten Bde. Im sg.       seine Söhne heissen   ebend.        	     zu       zu          ,   zu         (im 2ten Bde.).     in     wohl     v. u.             (hiernach	
Beispp.	7		2	0	0	2	    ( )             ( )        :     In den folg. Beispp. bed.     (vgl. 4):   (     )           ( )       	et nach     :   ( ),   ( ),     hat in den folgg. Beispp. die Bed.   (geht im comp. voran)   (also gleichsa	
Besond.	7		2	0	0	2	n:         Am Ende eines   comp.               Im Besond. <div n="3"> α)     (s. u.              ,     u. E	mit pass. Bed.:             <div n="1">— 2)  ; im Besond.   (einen Weg),   (einen Zeitraum):               	
Compar.	7		2	0	0	2	.  )              ,   <LEND>     ¦   :  ;   :     Compar. von einem nicht erhaltenen pos., der wohl zu 1.  	f, mit denen   angeblich nicht verbunden werde:   Compar.   s. bes.; superl.    :    ; vgl.       <div n="1	
Corigg.	7		2	0	0	2	                                           (s. d. Corigg.).     mit pass. Bed.     mit act. Bed.   (vgl.   	in         <div n="1">— 2)     (?)   (so nach den Corigg. zu lesen) und   =     =   (so   im Text)   nach  	
Das.	4		2	0	0	2	mit dem acc.:     <LEND>     ¦ (wie eben)   dass. Das. obj. im loc.:     am Ende eines comp.     ( ).   	em abl.    :    :         <div n="v">— Vgl.   . — Das.     s. u.   . <LEND>     ¦ (wie eben) adv.    :  	
Es.	3	Y	2	0	0	2	 ( )   <div n="1"> 1)       <div n="1">— 2)       Es. werden derer im   nach dem   neun und vierzig nam	 nach   zu   so v. a.   [Page6-0695] (von   ( )   Es. liessen sich gen. du. annehmen von   und   für   	
Hem.	4		2	0	0	2	es Metrums; s. u. 2.).     <div n="1">— 2)      , Hem. 1 und 3: ⏑ ⏑ ⏑ ⏑ ⏑ ⏑ – ⏑ – ⏑ – –, Hem. 2 und 4: ⏑	 2)      , Hem. 1 und 3: ⏑ ⏑ ⏑ ⏑ ⏑ ⏑ – ⏑ – ⏑ – –, Hem. 2 und 4: ⏑ ⏑ ⏑ ⏑ – ⏑ ⏑ – ⏑ – ⏑ – –   ( ).   <LEND	
Intens.	7		2	0	0	2	              — Caus.    ,  ,   — Desid.    ,   — Intens.     zu        :         <div n="v">— Vgl.   . <di	cc.)  :     — Nach dem   noch   (wegen  ) und   — Intens. imperat.   3. pl.; pot.  ; imperf.   2. und 3. sg	
Lexicogr.	9		3	0	1	2	 von   beseitigt. — Die indischen Grammatiker und Lexicogr. geben  , das als indecl. im     erscheint, folg. 	,     <div n="1">— 3) N. pr. eines Mannes   eines Lexicogr.   Commentators der     des       N. pr. eines Sch	
Mss.	4		188	0	186	2	                          (parox. wie auch einige Mss. in   =   betonen)     instr.  ; =                	                      u.s.w.       Notices of Skt Mss.   eine Form der     <div n="1">— 3) Titel einer  	
Nachtrr.	8		2	0	0	2	)                   s. u.   <div n="1"> 1) in den Nachtrr.         zu     Comm. zu   von Lauten, Silben, Wor	0832]       182.   (s. u.   <div n="1"> 1) in den Nachtrr.). <div n="1">— 2)     = 1)  ):     <div n="v">— V	
Negat.	6		2	0	0	2	redet)       [Page2-0043] =   oder    , mit einer Negat.  :         <div n="1">— 4) mit                   	1">— 6) mit   <div n="2"> a)  :         mit einer Negat.  :               in      :               <div n="	
Nomen pr.	9		2	0	0	2	[Page1-0002]                , d. h.     Vor einem Nomen pr. oder Appell. ( ) im Vorwurf, mit dem Accent auf d	e ein anderes Adjectiv in ein Appellativ oder ein Nomen pr. übergehen kann;  . 6. zu                   [Page1	
Ortsadv.	8		2	0	0	2	nte auch nom. sein)       mit dem loc. oder einem Ortsadv.:           <LEND>     ¦ (wie eben)   <div n="1"> 	oder    ,    ) <div n="1"> 1)   oder   (acc. oder Ortsadv.)  ; act.:                              ,         	
Patron.	7		2	0	0	2	nnes    ,                ,     . <LEND>     ¦ ( ) Patron. von     in    ,     <div n="v">— Vgl.   . <LEND> 	n    ,     <div n="v">— Vgl.   . <LEND>     ¦ ( ) Patron. von     bei   <div n="v">— Vgl.   . <LEND>     ¦ 	
Pers.	5		29	0	27	2	r älteren Sprache   2. und 3. Person; für die 3te Pers. auch  ),   und   (  ); med.  ; conj.   und   (  ,	¦ (vom caus. von 1.   mit  ) nom. ag. =   als 3te Pers. fut.   <LEND>     ¦ (von  )    :       Feuer     	
Praep.	6		2	0	0	2	     :         <div n="p">—     (abl.):     Diese Praep. scheint übrigens durch das folg.   oder ein im Si	elleicht hierher zu ziehen, da   sonst mit dieser Praep. nicht vorkommt; und zwar   so v. a.   (   ),   un	
Suff.	5		2	0	0	2	D>     ¦;   s. u. 1.   . <LEND>     ¦ (von)   mit Suff.     (Vieh)  :     <LEND>     ¦ (  ) und   (von 1.	                    Daraus ein loc. mit doppeltem Suff.:     <LEND>     ¦ <div n="1"> 1)    :     <div n=	
Synonn.	7		2	0	0	2	    Vgl.   und   3. <div n="1">— 2)     (wie alle Synonn. von  )   im   <div n="1">— 3)   N. eines         	  <div n="1">— 3) bei den Mathematikern (wie alle Synonn. von  )     <div n="1">— 4) N. einer vom   benannt	
Titelbl.	8		2	0	0	2	                    (so ist zu lesen)     auf dem Titelbl.     so v. a.       (wo   zu lesen ist).   <LEND> 	tel einer         Titel einer anderen     auf dem Titelbl.,   (welches   in   verbessert)   <LEND>     ¦    	
Var. l.	7		3	0	1	2	   ¦ ( )   N. pr. des 19ten   der vergangenen     Var. l. :   . <LEND>     ¦ ( ) <div n="1"> 1)            	 Mannes   in   <LEND>     ¦ N. pr. eines Landes   Var. l. :   und   . <div n="v">— Vgl.   . <LEND>     ¦ s.	
Verf.	5		2	0	0	2	            zu       zu   und                     Verf. von         Gemahlin des       <LEND>     ¦   das	— b) N. pr. eines vielgenannten   (    ), der als Verf. mehrerer   Lieder gilt. Er wird als ein Sohn   be	
Weg.	4		4	0	2	2	 der beiden  ,    ,   <LEND>     ¦ (von  )   (der Weg.)                :         in   <LEND>     ¦ patro	zwei   . <LEND>    2.  ¦ <div n="1"> 1)           Weg.   Gewänder   Bogen       Donnerkeil           Son	
Zusammenss.	11		2	0	0	2	. d. Wurzeln   u. s. w. und die mit   anlautenden Zusammenss. Der Anlaut dieses   fällt nicht selten ab,   der 	selten anzutreffen; vgl. weiter u. die mit   anl. Zusammenss. <LEND>     ¦ (von  )             zu     nur im sg	
adv. compp.	11		2	0	0	2	 mit dem Nebenbegriff des Untergeordnetseins); in adv. compp.:    ,  ,                     in            ,   Ne	bene Bedeutung hat (vgl. z. B.  .  am Anfange von adv. compp.  ,   <LEND>     ¦ (2.   + 2.  ) <div n="1"> 1)   	
allg.	5		2	0	0	2	 9 Söhne     <LEND>     ¦ ( )    : <div n="1"> 1) allg. N. für den   und andere fabelhafte Bäume in   Him	iner Tochter der     Vgl.   . <div n="3">— β) pl. allg. N. für  :   (vgl.     ( .) im   <div n="3">— γ) (	
appellat.	9		2	0	0	2	(An beiden Stellen liesse sich aber das Wort auch appellat. fassen, in der zweiten namentlich auf   beziehen;	>— 3)     <div n="2"> a) ein N. der  ,  ; auch in appellat. Bed.                                           = 	
astronom.	9		2	0	0	2	 )   (blosser Druckfehler für  ).     Titel eines astronom. Werkes ( )   im   <div n="2">— b)   ( ,  )   eben	)             im   <LEND>     ¦ ( )   Titel eines astronom. Werkes aus dem 16ten Jahrh.     <LEND>     ¦ ( ) 	
aufgef.	7		2	0	0	2	                                    An allen eben aufgef. Stellen steht   im nom., als nähere Bezeichnung d	nom. acc. sg. neutr. von  , erscheint aber in der aufgef. Form auch am Anf. eines comp. und in den derivv. 	
besond.	7		2	0	0	2	                                  <div n="1">— 3) besond. Erwähnung verdient der Gebrauch von   <div n="2">	    in   im    ; vgl.   <LEND>     ¦ ( )     (ein besond. Amt)   <LEND>     ¦ ( )   pl. N. pr. eines Volkes	
bisw.	5		2	0	0	2	n N. der       <LEND>     ¦,        );   ger.;  ; bisw. auch act. <div n="1"> 1)  ; mit acc. und auch loc	s  )       <LEND>    1.  ¦,   (in gebundener Rede bisw. auch  ; <div n="1"> 1)                           	
corrigg.	8		2	0	0	2	 ( )       <LEND>     ¦ (3.  )    :         (vgl. corrigg.).   (Gegens.  ).         <LEND>     ¦ (3.  )     	 =   N. pr. einer Stadt         (p. 571).     (s. corrigg.).                   oder      ,   <LEND>     ¦   	
dazw.	5		2	0	0	2	  auch umgestellt:                               (dazw. das Negirte)     =   ( ) —   ( ) —   ( )         	   ( )   —               (dazwischen das Neg.)   (dazw. das Neg.)     Ueber die Verbindung mit   s. u.   	
dd. Ww.	7		2	0	0	2	xicographen eben so wie   als   aufgeführt; s. u. dd. Ww.)                                                 	<div n="1"> 1)       Am Ende eines comp.:   s. u. dd. Ww.     so v. a.  , Beiw.         ( :     (v. l.     	
declin.	7		2	0	0	2	    ¦ und   (3.  )   theils stark, theils schwach declin.; häufig die   — Form bei   — subst.   oder  , von	)       <LEND>     ¦   ein Bein.     beide Theile declin.:         pl.     — Eine aus   (s. u.  ) verunstal	
denomm.	7		2	0	0	2	n der   abläuft). <LEND>     ¦,         und   als denomm. von     — Wohl verwandt mit   . <div n="p">—  ,  	und   dazu) und ein Mal     Diese Formen sind als denomm. aufzufassen und verhalten sich zu   wie   und   z	
dess.	5		3	0	1	2	ein aus   gefolgertes Wort     zu   <LEND>     ¦ (dess. Ursprungs wie  ; parox.   proparox.   oxyt.      	h.     <LEND>     ¦ ( )         Titel des 19ten   dess. Werkes, welcher lehrt, welches Heil oder Unheil d	
etymol.	7		2	0	0	2	  neben                 (wo scheinbar   wegen des etymol. Spiels mit  ).                                   	von 1.   oder vielmehr der reduplic. Form  ; also etymol. richtiger  )     (  unter den Wörtern für  :     	
folg. Ww.	9		2	0	0	2	D>     ¦,      ; wahrscheinlich zur Erklärung der folg. Ww. erfunden. <LEND>     ¦    , von  :     (fehlt in 	<div n="2">— c) N. pr. einer Stadt  ,  ; vgl. die folg. Ww. <LEND>     ¦ (von  ) Bez. einer Localität     zu 	
folgg. Ww.	10		2	0	0	2	tischen Kategorie angepasster Naturlaut. Vgl. die folgg. Ww. <LEND>     ¦ oder     dass. voc.    ,  . 1.   ved	  ,   <LEND>     ¦ ( )       <div n="v">— Vgl. d. folgg. Ww. <LEND>     ¦ ( )       Das Versmaass verlangt   .	
ident.	6		2	0	0	2	igkeit sich auszeichnendes Thier,   (=    ), wohl ident. mit den   der  :                       Vgl.   . <	⏑ ⏑ ⏑ ⏑ ⏑)   ( ). <div n="2">— n) N. pr. eines   (ident. mit  , König der  ; vgl.  )   eines Sohnes des   	
imp.	4		2	0	0	2	   <LEND>    1.  ¦,         (ep. auch  )   :  ,2. imp.   (von den Comm. öfters =   gefasst).   (    ,   	          st.   des  ;   3. pl.,    ; infin.   3. imp. falsche Form (st.   des  ).   partic.   und   s. 	
incl.	5		2	0	0	2	  <div n="2">— c) Bez.   (=       (Sonne und Mond incl.)      ,   <LEND>     ¦   <LEND>     ¦   Bein.    	)   <div n="1">— 16)   Bez.       (Sonne und Mond incl.)  ,   <div n="1">— 17)   Bez.       [Page5-1316] 	
indic.	6		2	0	0	2	t es so v. a.  , dabei soll aber   im Sinne eines indic. gefasst werden; nach   zu   wäre es so v. a.  , w	   hat. Mit conj. imperf.:     Bisweilen mit aor. indic.:       ved. Citat beim   zu         v. l.) =     	
insens.	7		2	0	0	2	   :     zu           (v. l.         <div n="p">— insens.    ,   <div n="p">—   s.   . <div n="p">—   caus.	l.   und   . — caus. aor.       (fälschlich  ). — insens. s.   . <div n="p">—   <div n="1"> 1)  :       <di	
instrr.	7		2	0	0	2	  , d. h.  ; so heisst besonders  ,      :   (die instrr. bezeichnen die  )   die Morgenröthe:   (die Morge	d Sachen.                           (daneben zwei instrr.   und  , zu denen   in der Bed.   zu ergänzen ist	
met.	4		2	0	0	2	2.  )     m. n.       . <div n="1"> 1)   eig. und met.:                                 <div n="1">— 2) 	lt).         Das ganze 9te   des   ist dem   gewidmet.                                                  	
myth.	5		2	0	0	2	       (wofür   liest:  )                   — Ein myth.  , der den     weiht     [Page2-0188] <div n="2">	">— 2)   <div n="2"> a) in Verb. mit   Bez. eines myth.       <div n="2">— b) Bez. eines       einer Reci	
mythol.	7		2	0	0	2	harven und Kentauren in   <div n="1">— 2) aus der mythol. Bed. haben sich die folgenden entwickelt: <div n=	),                               und        ; die mythol. Erklärung s. im Comm. zu d. St. und vgl.   <div n	
nachf.	6		2	0	0	2	                   <div n="2">— b) mit dem gen.   nachf.:                   vorangehend:           <div n=	               —       u. s. w.               mit nachf.   s. u.   9. Im comp. selten anzutreffen; vgl. we	
nom. abst.	10		2	0	0	2	)      :                   adv.       dass.       nom. abst.   <LEND>     ¦ (von           <LEND>     ¦ (von  	     <LEND>     ¦     <LEND>     ¦    ; davon     nom. abst.   <LEND>     ¦ <div n="1"> 3)   <LEND>    1.  ¦ m	
nom. card.	10		2	0	0	2	                                        vor einem nom. card.:         (nach    ).   13(1/2)             ( :  )	         zu       <LEND>     ¦ (von  ) nach einem nom. card.  :     (der das Opferfleisch in so viele Stücke z	
nom. gent.	10		2	0	0	2	  ¦ (wie eben)    :   u. s. w.     <LEND>     ¦   nom. gent.         <div n="v">— Vgl.   . <LEND>     ¦ (von  	   <LEND>     ¦ (wie eben)         <LEND>     ¦   nom. gent.   in   <div n="v">— Vgl.   und   <LEND>     ¦ von	
obl.	4		2	0	0	2	tt der erstarrte nom. auch die Stelle eines casus obl.:               u. s. w.         (   )            	 in näherer Beziehung zum nom., als zu einem cas. obl. im Satze, der bisweilen auch zu ergänzen ist:    	
opt.	4		2	0	0	2	                  Vgl.   . <div n="1">— 3)  ; mit opt. und conj., später auch fut., praes., imperf., per	                  [Page7-1634] der ungrammatische opt.                       st. dessen            , Sch	
poet.	5		2	0	0	2	 )    , ein Bein.     <LEND>     ¦ ( )     (einer poet. Darstellung):   N. eines dem   zugeschriebenen Ge	es   <LEND>     ¦ <div n="1"> 1)   <div n="2"> a) poet. Bez.   d. h.  )       zu   <div n="2">— b) N. pr.	
precat.	7		2	0	0	2	. neben einander)   Im praes.:     im imperf. und precat. ved.:     im imperat. mit       <div n="1">— 3)  	instimmung beider Ausgg.)     <div n="1">— 4) mit precat.:     <div n="1">— 5) mit fut.    :               	
relig.	6		2	0	0	2	   ¦ (3.       . <LEND>     ¦ (3.        :     in relig. Sinne   <LEND>    1.  ¦ (von 2.  ) <div n="1"> 1)	on         zu   <LEND>     ¦ (von 3.  )       (in relig. Sinn):                   <div n="v">— Vgl.   . <L	
substt.	7		2	0	0	2	   - :                           eines der beiden substt. zu ergänzen     <div n="v">— Vgl. 1.   . <LEND>  	>     ¦ s. u.   mit   . <LEND>     ¦ ( )    ; von substt., welche sowohl in einem attribut. als auch in ein	
syn.	4		2	0	0	2	                   <div n="1">— 8)   (  u. s. w., syn. mit  )       [Page1-0623]             (=  ).     	1">— 5)     <div n="2"> a) (nämlich  )   (eig.  , syn. mit  .    [Page3-0485]           (vgl.  ,  .  ,  	
tautol.	7		2	0	0	2	 a)  :                                           (tautol.)         —    :           mit Auslassung von     	   (s.d.) =  .    <div n="2">— f) steht bisweilen tautol.:    , =   und neben   stehend     (s.d.) =     <d	
term.	5		2	0	0	2	avon nom. abstr.    ,     zu   <LEND>     ¦ ( )   term. techn. bei der Beobachtung des Vogelfluges   im  	in der 2ten Ausg.:   . <LEND>     ¦ ( )   astrol. term.:     in     <LEND>     ¦ ( )    :           <LEND	
trop.	5		2	0	0	2	                [Page2-0143]            :         trop.:                       med.:           in   <div 	iv n="1"> 1)  ; vorzugsweise vom Feuer gebraucht; trop.  :                                               	
ungedr.	7		2	0	0	2	D>     ¦ pl.     <LEND>     ¦   Davon       zu   (ungedr.). <LEND>     ¦ =     <LEND>     ¦   <LEND>     ¦ 	<div n="p">—    :     <div n="p">—    :     zu   (ungedr.).   ist   zu schreiben. <div n="v">— Vgl.   . <di	
ungrammat.	10		2	0	0	2	Wohl falsche Lesart für   . <LEND>    1.  ¦ (eine ungrammat. Bildung von  )    ,  . 6, nach der Lesart der    	    ist daselbst nicht verzeichnet. <LEND>     ¦ (ungrammat. Bild. von  )                 <LEND>     ¦ (von  )	
unpers.	7		2	0	0	2	n="1">— 3)   (gen.)   (von einem Unwohlsein) oder unpers.   (gen.)  :       unpers.   Auch mit dem acc. der	 einem Unwohlsein) oder unpers.   (gen.)  :       unpers.   Auch mit dem acc. der Person:     <div n="1">— 	
voran.	6		2	0	0	2	Begriffs ( ) augeführt werden.   ( ) geht   dem   voran. Vgl.   . <div n="1">— 2)    , ein Bein.  , welche	d. In einem   comp. geht das Zahlwort regelmässig voran. — Am Ende eines   comp. (f.   so v. a.         ( 	
vorhergeh. Ww.	14		2	0	0	2	ein Sohn       versch.      <div n="v">— Vgl. die vorhergeh. Ww. <LEND>     ¦ (2.  )   N. pr. ein Sohn       <div 	  )   N. pr. ein Sohn       <div n="v">— Vgl. die vorhergeh. Ww. <LEND>     ¦ (3.  ) <div n="1"> 1)    :         <	
vv. ll.	7		2	0	0	2	ND>     ¦     (nach dem Sch.):    ; vgl. aber die vv. ll. in     <LEND>     ¦ ( )    ;    :     <LEND>     	      <LEND>     ¦   v.l. für     <LEND>     ¦,   vv. ll. für     <LEND>     ¦         <LEND>     ¦        	
weibl.	6		2	0	0	2	   heissen insb. <div n="1"> 1)  , die auch sonst weibl. personificirt werden.             <div n="1">— 2)	LEND>     ¦   und     s. u.   . <LEND>     ¦     (weibl. Thier), vom Gespann der  :     Dürfte nur Nebenfo	
Abschn.	7		1	0	0	1	1"> 1)   Beiwort     <div n="1">— 2)   Bez. eines Abschn. der     <LEND>    1.  ¦ ( )   <div n="1"> 1)  :  		
Adhy.	5		5	0	4	1	="1">— 2)   N. pr. eines         Bez. des 178sten Adhy. in       (im Index [Page5-0128]  ; vgl.   . <div 		
Adj. compp.	11		1	0	0	1	esagte nicht hören wolle)       sg.       ( )     Adj. compp. auf   sind paroxytona, wenn das vorangehende Wort		
Adnott.	7		1	0	0	1	r späteren Sprache selten als adj.:         (vgl. Adnott.).   (von  )   ( :  ). superl.:           superl. 		
Allgem.	7		1	0	0	1	2">— f)                                           Allgem. Bez. für     Bez.       <div n="2">— g)          		
Annott.	7		1	0	0	1	                               zu             (s. Annott.).                        ; vgl.     <div n="1">— 		
Ant.	4		1	0	0	1	— Vgl.   . <LEND>     ¦       im       nach ders. Ant.; vgl. u.   . <LEND>     ¦ (von  ) <div n="1"> 1) 		
Aor.	4		1	0	0	1	h   hinzu. <LEND>     ¦   (sc.  ) Bez.   (Imperf. Aor. Condit.)   <LEND>     ¦ <div n="1"> 1) <div n="2"		
Appos.	6		1	0	0	1	        (v. l.  , vgl.  )    , v.l.     Folgt als Appos.:                    :                            		
Ausdr.	6		1	0	0	1	   . <LEND>     ¦ s.   . <LEND>     ¦ oder      , Ausdr. des Tadels  ,   <LEND>     ¦ und         im     (		
Ausl.	5		1	0	0	1	 n="v">— Vgl.   . <LEND>     ¦ (  mit Dehnung des Ausl.)     (s.  )   im   Als v. l. wird   ebendaselbst 		
Ausn.	5		1	0	0	1	zeigt das Wort stets getrennt vom Zahlworte (eine Ausn. s. unter  ) und betont dasselbe auf der ersten Si		
Beim.	5		1	0	0	1	 ¦       zu   <div n="1"> 1)     (einen     ( )   Beim.   — Opfer dient er auch zu der Spende            		
Beis.	5		1	0	0	1	in   und Mutter     <div n="2">— n) mit oder ohne Beis. von   N. eines Flusses   <div n="1">— 4)   <div n		
Beisatz.	8		1	0	0	1	braucht und zwar sowohl   (          ) als   ohne Beisatz. Vgl.   . subst.                                  		
Bemerk.	7		1	0	0	1	            [Page2-0122]           (als scenische Bemerk.)                                                 		
Berl. Mpt	9		1	0	0	1	 Arten von Solanum:     <div n="2">— c)  :       (Berl. Mpt)   <div n="2">— d)   (vgl.       <div n="2">— e) 		
Capp.	5		1	0	0	1	           ein Beiw. des R. in den Unterschr. der Capp.; vgl.                     zu     näml.           		
Casusverh.	10		1	0	0	1	<div n="1">— 6)   am Ende eines comp. in gleichem Casusverh. mit dem vorang. Worte     zu   <div n="1">— 7)   		
Char.	5		1	0	0	1	                         u. s. w.   (fut. mit dem Char. des praes.)       =                              		
Chr.	4		1001	0	1000	1	von   im ersten Drittel des 14ten Jahrhunderts n. Chr.   in der Einl. zu       in der Einl. zum   — Comm		
Comment.	8		1	0	0	1	chtet der Uebereinstimmung der Handschrr. und des Comment. augenscheinliche Verderbniss aus   von   . <LEND>		
Commentat.	10		1	0	0	1	 <div n="2">— h)     <div n="2">— i) N. pr. eines Commentat.   zu       <div n="1">— 2)         :  ;   heisst 		
Condit.	7		1	0	0	1	inzu. <LEND>     ¦   (sc.  ) Bez.   (Imperf. Aor. Condit.)   <LEND>     ¦ <div n="1"> 1) <div n="2"> h) vgl		
Conjj.	6		1	0	0	1	        Zuweilen versetzt:   für         Nach den Conjj.    :                         Ein vorangehendes ve		
Conjug.	7		1	0	0	1	tens. von 1.  )       <LEND>     ¦,   (=   ved.   Conjug.       zu        , Schol.   (absol.),    , Schol. 		
Correlat.	9		1	0	0	1	   Kein Beleg aus dem Epos. <div n="1">— 2)   (in Correlat. mit  ):                 Ueber das Vorangehen des 		
Corrig.	7		1	0	0	1	        ,                           =         (s. Corrig.).   Wird vom   zu   durch     erklärt; hierzu fol		
Cultus.	7		1	0	0	1	<div n="1"> 1)  ; insbes. von der Thätigkeit beim Cultus.                         <div n="1">— 2)  :       		
Dat.	4		1	0	0	1	prache nur folgende Casus erhalten: Sg. Instr.  , Dat.  , Abl. Gen.  , Loc.   oder  ; Du. Gen. Loc.  ; P		
Derivv.	7		1	0	0	1	 Vgl. 1.   . <LEND>     ¦,       pass. dass.:     Derivv. von   mit Vocalisirung des     Vgl.   . — caus.  		
Ders.	5		1	0	0	1	                  <div n="p">—    :       : =   . Ders.   erklärt     durch   . <div n="p">—   <div n="1"		
Dioscor.	8		1	0	0	1	"1"> 1)       <div n="1">— 2)  , vielleicht   des Dioscor.,  ;       masc.   unbestimmt ob m. oder n.       		
Dist.	5		1	0	0	1	es Jupiters   als Dämon einer Eklipse  ; in einem Dist. aus   heisst er   . N. pr. eines der 4 Söhne des 		
Eig.	4		2	0	1	1	 <div n="v">— Vgl.   . <LEND>     ¦ (von  )       Eig.      , wie auch     nach dem     benannt sein sol		
Eigenn.	7		1	0	0	1	   <div n="2">— i)   (wohl mit Anspielung auf den Eigenn.  )     <div n="1">— 3)     . <div n="2"> a)      		
Einsch.	7		1	0	0	1	 )   <div n="1"> 1)     <div n="1">— 2) Bein.     Einsch. nach     <div n="1">— 3) N. pr. des Lehrers des  		
Emend.	6		1	0	0	1	<LEND>     ¦ und       oder  :       [Page2-0666] Emend. zu       <LEND>     ¦ ( )    , von     <LEND>    		
Epith.	6		1	0	0	1	— 2)     <div n="v">— Vgl.   . <LEND>     ¦   ein Epith.  , das von den Commentatt. auf   und   zurückgefü		
Erg.	4		1	0	0	1	l irrige Lesart (vgl.  ). <LEND>     ¦ ( )   (mit Erg. von  )      , Bez.     <LEND>     ¦ ( )    :     		
Erklärr.	8		1	0	0	1	v n="1"> 1)   <div n="2"> a)   oder    . Nach den Erklärr. zu den   sollen deren   im Gebrauch gewesen sein;		
Euphem.	7		1	0	0	1	                    —             (vgl.  )   in   Euphem. von der   (nach dem Comm.):     (vgl.  ). Der   d		
Folg.	5		1	0	0	1	 instr. sg.     (neben seltenem    ; vgl. auch im Folg.):               Ueber den adv. Gebrauch von   s. 		
Fut.	4		2	0	1	1	 [Page1-0537]             Ueber dieses Participal-Fut., das in der Regel in den ersten und zweiten Perso		
Gegenss.	8		1	0	0	1	 2)   indecl.     . adv. praep. <div n="2"> a)   (Gegenss.  ):                                              		
Gegenst.	8		1	0	0	1	                                 Mit instr. des   Gegenst.:       (abl.)  :     partic.:     — caus.        		
Geschl.	7		1	0	0	1	 (von  )         zu    ,  . 2. 3. neutr.     (das Geschl. nicht zu bestimmen). —     zu   ( ). <LEND>     ¦		
Grammat.	8		1	0	0	1	 <div n="1"> 1)  :     <div n="1">— 2)     in der Grammat.   (Wörter oder Worttheile):            ,   <div n		
Hamb. Hdschrr.	14		1	0	0	1	                      (wohl so zu lesen st.   die Hamb. Hdschrr.)         so v. a.                 (wo   st.   mit		
Hdchr.	6		1	0	0	1	)   ( )   (vulgo  )   im               nach einer Hdchr. des   <div n="1">— 2)     <div n="1">— 3)   nach 		
Hdsichr.	8		1	0	0	1	.               In der Stelle       ist mit einer Hdsichr. (s. bei  )   zu lesen; so steht auch   st.     is		
Hypokor.	8		1	0	0	1	es des  ,   ( ) . des   (vgl.  )   <LEND>     ¦   Hypokor. von    ,  . 5,   <LEND>     ¦ ( )   N. pr. eines 		
Hypokorr.	9		1	0	0	1	 der Vorrede zu RAGH. III. <LEND>     ¦   und     Hypokorr. von    ,  . 1,   <LEND>     ¦   =     <LEND>     		
Identif.	8		1	0	0	1	)           <div n="1">— 2)      , =     im   Die Identif. mit   im  , angeblich nach  , beruht auf einer Ve		
Imacc.	6		1	0	0	1	                                           in     Imacc. wird die Form   gebraucht:                       		
Imperf.	7		1	0	0	1	ge   nach   hinzu. <LEND>     ¦   (sc.  ) Bez.   (Imperf. Aor. Condit.)   <LEND>     ¦ <div n="1"> 1) <div 		
Impl.	5		1	0	0	1	nd des  .                                   =     Impl.   oder       <div n="v">— Vgl.   . <LEND>     ¦ (		
Incomp.	7		1	0	0	1	 [Page3-0398]                                     Incomp. mit der Pflanze, aus der das   gewonnen wird; der		
Indecll.	8		1	0	0	1	   [Page4-1036]                         unter den Indecll. im     zu   =     und =    ; vgl.   . <LEND>     		
Inf.	4		1	0	0	1	  <LEND>     ¦ (3.  )        :          , mit dem Inf.:       nach einem Nom. act.:     <LEND>     ¦ (3.		
Infin.	6		1	0	0	1	END>     ¦ (wie eben)    - :       (instr.)     — Infin. s. u. 1.   . <LEND>     ¦ (2.  )   (f.  )        		
Inhaltsv.	9		1	0	0	1	     zu   N. pr. eines       <LEND>     ¦ ( )     Inhaltsv. zu           zu   <LEND>     ¦ (von  )   N. einer		
Inschrr.	8		1	0	0	1	  ohne obj.:       (sic)       oder  :         in Inschrr. in   (vgl.   in  ).             so v. a.  :      		
Interpol.	9		1	0	0	1	 f.           <div n="1">— 2)   <div n="2"> a)  ) Interpol. im         <div n="2">— b) Bein.           <LEND>		
Interpr.	8		1	0	0	1	rommel)   <div n="1">— 2)  :           Nach einer Interpr. [Page2-0477] von   :   <div n="1">— 3)  :        		
Lexicc.	7		1	0	0	1	  <div n="2"> a) in der nachved. Sprache nach den Lexicc.:   u.         In den uns vorliegenden Stellen ers		
Lexx.	5		1	0	0	1	>— 2)   (s.  ). <div n="1">— 3) =   (fehlt in den Lexx.)     <LEND>     ¦ ( ) <div n="1"> 1)     (s.  )  		
Litt.	5		1	0	0	1	 nicht da gewesen ist)         Citat aus der ved. Litt. bei   zu         Mit dem gen. der Person oder des		
Mannsn.	7		1	0	0	1	 ¦ (von  )           ein bei den Buddh. beliebter Mannsn.   <LEND>     ¦ ( )   N. pr. einer Stadt       <LE		
Medic.	6		1	0	0	1	— 2)                               ( )     in der Medic.  , namentl. von übernatürlichen Krankheitsursache		
Mspt.	5		1	0	0	1	 1)  :     <div n="1">— 2)     (fehlt im Berliner Mspt.).           zu   <LEND>     ¦ ( )       im   <LEN		
Myth.	5		19	0	18	1	nnte aber auch ein   gemeint sein)         In der Myth.  , die unter der Erde in der Stadt   wohnen und g		
